song_name,artist_name,energy,gloom_index
Grow,MUNA,0.193,0.40349999999999997
Number One Fan,MUNA,0.56,0.36055411083632727
Stayaway,MUNA,0.841,0.24678553102209688
Who,MUNA,0.673,0.39617507757635145
Navy Blue,MUNA,0.536,0.5189315711151024
Never,MUNA,0.585,0.5826364904913516
Pink Light,MUNA,0.903,0.1589789217316928
Taken,MUNA,0.802,0.2677384698273843
Hands Off,MUNA,0.541,0.14164228104108914
Good News (Ya-Ya Song),MUNA,0.56,0.37780793464286566
Memento,MUNA,0.394,0.46570946371246474
"It's Gonna Be Okay, Baby",MUNA,0.607,0.4310597891232812
So Special,MUNA,0.77,0.2810525098861287
Loudspeaker,MUNA,0.871,0.2735549093600995
I Know A Place,MUNA,0.9,0.18725312393470983
Winterbreak,MUNA,0.675,0.35538376966916485
Around U,MUNA,0.824,0.39564878576651874
After,MUNA,0.805,0.3510998523142418
Promise,MUNA,0.889,0.36868709836875924
If U Love Me Now,MUNA,0.375,0.42323394762014316
Crying On The Bathroom Floor,MUNA,0.836,0.41544074431982736
End of Desire,MUNA,0.842,0.21331766592195595
Everything,MUNA,0.583,0.4106971302869713
Outro,MUNA,0.508,0.5071526886502686
